text,intent
привет,greeting
здравствуй,greeting
добрый день,greeting
приветик,greeting
здорово,greeting
доброе утро,greeting
добрый вечер,greeting
хай,greeting
салют,greeting
приветствую,greeting
здравствуйте,greeting
привет бот,greeting
ку,greeting
доброго времени суток,greeting
приветствую тебя,greeting
здравия желаю,greeting
привет друг,greeting
хеллоу,greeting
привет чат,greeting
добрый денек,greeting
приветствую вас,greeting
здравствуй бот,greeting
приветик бот,greeting
доброе утро бот,greeting
привет робот,greeting
здравствуй друг,greeting
приветствую друг,greeting
добрый день бот,greeting
приветствую робот,greeting
хай бот,greeting
привет дорогой,greeting
здравствуй дорогой,greeting
добрый вечер бот,greeting
приветик друг,greeting
салют бот,greeting
приветствую дорогой,greeting
здравия желаю бот,greeting
привет милый,greeting
добрый денек бот,greeting
привет красавчик,greeting
приветики,greeting
здарова,greeting
приветствую тебя бот,greeting
добрый день друг,greeting
хай робот,greeting
пока,farewell
до свидания,farewell
чао,farewell
прощай,farewell
увидимся,farewell
до встречи,farewell
бывай,farewell
пока пока,farewell
до скорого,farewell
адью,farewell
всего доброго,farewell
всего хорошего,farewell
до завтра,farewell
пока бот,farewell
до свидания бот,farewell
прощай бот,farewell
бывай бот,farewell
увидимся бот,farewell
до встречи бот,farewell
чао бот,farewell
до скорого бот,farewell
адью бот,farewell
всего доброго бот,farewell
всего хорошего бот,farewell
до завтра бот,farewell
пока друг,farewell
до свидания друг,farewell
бывай друг,farewell
увидимся друг,farewell
до встречи друг,farewell
чао друг,farewell
до скорого друг,farewell
адью друг,farewell
всего доброго друг,farewell
всего хорошего друг,farewell
до завтра друг,farewell
пока робот,farewell
до свидания робот,farewell
бывай робот,farewell
увидимся робот,farewell
пока пока бот,farewell
до новых встреч,farewell
бывай дорогой,farewell
погода в Москве,weather
какая погода в Санкт-Петербурге,weather
погода сегодня,weather
погода в Питере,weather
температура в Минске,weather
погода в Казани,weather
какая погода,weather
погода в Сочи,weather
погода в Екатеринбурге,weather
температура воздуха,weather
погода в Новосибирске,weather
погода сейчас,weather
погода в Челябинске,weather
какая температура,weather
погода в Омске,weather
погода в Самаре,weather
погода в Ростове,weather
погода в Уфе,weather
погода в Красноярске,weather
погода в Воронеже,weather
погода в Перми,weather
погода в Волгограде,weather
погода в Краснодаре,weather
погода в Саратове,weather
погода в Тюмени,weather
погода в Тольятти,weather
погода в Ижевске,weather
погода в Барнауле,weather
погода в Ульяновске,weather
погода в Иркутске,weather
погода в Хабаровске,weather
погода в Ярославле,weather
погода в Владивостоке,weather
погода в Махачкале,weather
погода в Томске,weather
погода в Оренбурге,weather
погода в Кемерово,weather
погода в Рязани,weather
погода в Астрахани,weather
дождь,weather
зонт,weather
снег,weather
град,weather
туман,weather
ветер,weather
гроза,weather
как одеться,weather
нужна ли куртка,weather
брать ли зонт,weather
будет дождь,weather
погода на завтра,weather
прогноз погоды,weather
температура сейчас,weather
сколько градусов,weather
на улице холодно,weather
